id,test_id,tool,severity,active,verified,is_mitigated,sla_expiration_date,cwe,title
41,3,Trivy Scan,Critical,True,True,False,2026-04-16,787,CVE-2025-15467 Libssl3 3.0.17-1~deb12u2
57,3,Trivy Scan,Critical,True,True,False,2026-04-16,328,CVE-2023-46233 Crypto-Js 3.3.0
67,3,Trivy Scan,Critical,True,True,False,2026-04-16,20,CVE-2015-9235 Jsonwebtoken 0.1.0
72,3,Trivy Scan,Critical,True,True,False,2026-04-16,20,CVE-2015-9235 Jsonwebtoken 0.4.0
79,3,Trivy Scan,Critical,True,True,False,2026-04-16,1321,CVE-2019-10744 Lodash 2.4.2
85,3,Trivy Scan,Critical,True,True,False,2026-04-16,0,GHSA-5mrr-rgp6-x4gr Marsdb 0.6.11
163,3,Trivy Scan,Critical,True,True,False,2026-04-16,74,CVE-2023-32314 Vm2 3.9.17
164,3,Trivy Scan,Critical,True,True,False,2026-04-16,94,CVE-2023-37466 Vm2 3.9.17
165,3,Trivy Scan,Critical,True,True,False,2026-04-16,78,CVE-2023-37903 Vm2 3.9.17
166,3,Trivy Scan,Critical,True,True,False,2026-04-16,94,CVE-2026-22709 Vm2 3.9.17
175,5,Anchore Grype,Critical,True,False,False,2026-04-16,0,GHSA-whpj-8f3w-67p5 in vm2:3.9.17
176,5,Anchore Grype,Critical,True,False,False,2026-04-16,0,GHSA-g644-9gfx-q4q4 in vm2:3.9.17
177,5,Anchore Grype,Critical,True,False,False,2026-04-16,0,GHSA-c7hr-j4mj-j2w6 in jsonwebtoken:0.1.0
178,5,Anchore Grype,Critical,True,False,False,2026-04-16,0,GHSA-c7hr-j4mj-j2w6 in jsonwebtoken:0.4.0
179,5,Anchore Grype,Critical,True,False,False,2026-04-16,0,GHSA-cchq-frgv-rjh5 in vm2:3.9.17
183,5,Anchore Grype,Critical,True,False,False,2026-04-16,0,GHSA-jf85-cpcp-j695 in lodash:2.4.2
185,5,Anchore Grype,Critical,True,False,False,2026-04-16,0,GHSA-xwcq-pm8m-c4vf in crypto-js:3.3.0
